Value,Parameter
2000.0,CaMKII_i
2000.0,CaM_i
100000.0,Ca_i
1e-08,D_SURF
1e-06,D_VOL
3000.0,ITERATIONS
1e-08,MCELL_DIFFUSION_CONSTANT_2D_NMDAR
1e-06,MCELL_DIFFUSION_CONSTANT_3D_Ca
1e-06,MCELL_DIFFUSION_CONSTANT_3D_CaM
1e-06,MCELL_DIFFUSION_CONSTANT_3D_CaMKII
1e-06,MCELL_DIFFUSION_CONSTANT_3D_PP1
1.0,NA_um3
300.0,NMDAR_i
1000.0,PP1_i
1.0,VOL_RXN
0.50588,VolCP
0.0307,VolPM
3000.0,k_dephos_camkii_p
570000000.0,k_pCaM4
1000000.0,k_pCaM4_P
1.928,koff_1Ca
1.937,koff_2Ca
7.476,koff_3Ca
25.783,koff_4Ca
0.284,koff_CaMKII_NMDAR
0.03,koff_CaMKII_P_NMDAR
0.00025,koff_cam_ca4_camkii
10000000.0,koff_camkii_inact
1000000.0,kon_CaCaM
300000.0,kon_CaMKII_NMDAR
2000000.0,kon_CaMKII_P_NMDAR
4200000.0,kon_cam_ca4_camkii
20000.0,kon_camkii_act
